Proteome_ID,Tax_ID,SUPERREGNUM
UP000681991,2786743,viruses
UP000006252,888052,bacteria
UP000001822,269798,bacteria
UP000682400,2786701,viruses
UP000030205,1540098,viruses
UP000204266,1923535,viruses
UP000314011,2588711,bacteria
UP000786811,51543,eukaryota
UP000007206,453116,viruses
UP000006230,314265,bacteria
UP000106394,1503292,viruses
UP000007689,327105,viruses
UP000318014,2042482,viruses
UP000240367,2116516,bacteria
UP000516509,2565702,viruses
UP000226308,1647524,viruses
UP000203280,1243178,viruses
UP000482155,2709383,bacteria
UP000078459,1826909,bacteria
UP000676965,2786245,viruses
UP000288096,45657,bacteria
UP000010795,717605,bacteria
UP000149016,10334,viruses
UP000547528,1262554,bacteria
UP000202314,1922989,viruses
UP000677188,2786299,viruses
UP000196151,1834192,bacteria
UP000249820,1914866,bacteria
UP001056945,2945957,viruses
UP000201285,885867,viruses
UP000240662,2099449,viruses
UP000031732,2494563,viruses
UP000323522,639200,bacteria
UP000282832,1862386,bacteria
UP000202608,1521391,viruses
UP000102095,165429,viruses
UP000259687,349975,viruses
UP000294324,1229325,viruses
UP000100668,424366,viruses
UP000296327,2548142,viruses
UP000006290,1234888,viruses
UP000053119,188379,eukaryota
UP000035682,34506,eukaryota
UP000319263,2596828,bacteria
UP000030326,1562076,viruses
UP000203878,1592207,viruses
UP000296619,2548065,viruses
UP000681395,2786572,viruses
UP000007232,11208,viruses
UP000245423,1288971,bacteria
UP000539599,56258,eukaryota
UP000242310,517424,bacteria
UP000094378,216938,bacteria
UP000244710,2171979,bacteria
UP000023430,1449351,bacteria
UP000202848,1844927,viruses
UP000681112,2786066,viruses
UP000009185,2772504,viruses
UP000005723,667129,bacteria
UP000229786,1912096,bacteria
UP000054342,348802,eukaryota
UP000242636,1943582,bacteria
UP000004830,742742,bacteria
UP000185663,545619,bacteria
UP000524535,393664,bacteria
UP000001514,88036,eukaryota
UP000221672,1034130,viruses
UP000678908,2786709,viruses
UP000241690,983964,eukaryota
UP000011832,1298531,viruses
UP000183685,637679,bacteria
UP000683115,2786702,viruses
UP000262882,2303421,bacteria
UP000030980,706570,bacteria
UP000533804,2587052,bacteria
UP000004001,679189,bacteria
UP000501042,2116443,viruses
UP000203366,999883,viruses
UP000462066,83619,bacteria
UP000504774,2736200,viruses
UP000663244,2806696,viruses
UP000001524,565140,viruses
UP000163538,424360,viruses
UP000053342,215243,eukaryota
UP000317295,2590945,viruses
UP000222381,1955176,viruses
UP000680204,2786753,viruses
UP001055767,2950785,viruses
UP000686288,2819191,bacteria
UP000321805,496014,bacteria
UP000202481,2010278,viruses
UP000504636,574789,eukaryota
UP000003240,1009370,bacteria
UP000031205,1498169,viruses
UP000292772,2530118,viruses
UP000649829,375761,bacteria
UP000293889,2507060,bacteria
UP000204574,1923156,viruses
UP000051931,1122152,bacteria
UP000054510,1081644,bacteria
UP000503104,2713217,viruses
